ES1499;;"Claas Financial Services, S.A.S., Sucursal en España";Entidad de crédito;"Cl Estrella Denébola, 8, 28045, Madrid";No;FR14218;"1499"
ES1546;;"CNH Industrial Capital Europe, S.A.S., Sucursal en España";Entidad de crédito;"c/ Estrella Denébola, 8, 28045, Madrid";No;FR13838;"1546"
ES1514;;"CNH Industrial Financial Services, Sucursal en España";Entidad de crédito;"AVENIDA DE ARAGÓN, 402, 28022, Madrid";No;FR15448;"1514"
ES1543;;"Cofidis, S.A. Sucursal en España";Entidad de crédito;"Pz de la Pau, s/n, 08940, Cornellá de Llobregat (Barcelona)";No;FR14940;"1543"
ES2056;95980020140006025332;"Colonya - Caixa D'estalvis de Pollensa";Entidad de crédito;"Pz Mayor, 7, 07460, Pollensa (Mallorca)";No;;"2056" 
ES0159;;"Commerzbank Aktiengesellschaft, Sucursal en España";Entidad de crédito;"Ps de la Castellana 259, pl 32, 28046, Madrid";No;DE00003;"0159"
ES1459;;"Cooperatieve Rabobank U.A., Sucursal en España";Entidad de crédito;"Cl Rafael Calvo, 39, 28010, Madrid";No;NL600;"1459"
ES8221;;"Corporación Hipotecaria Mutual, S.A., E.F.C.";Otra institución;"Ps de la Castellana, 51, 28046, Madrid";No;;"8221"
ES0154;;"Crédit Agricole Corporate and Investment Bank, Sucursal en España";Entidad de crédito;"Ps de la Castellana , 1, 28046, Madrid";Sí;FR31489;"0154"
ES1472;;"Crédit Agricole Leasing & Factoring, Sucursal en España";Entidad de crédito;"Ps de la Castellana, 1, 28046, Madrid";No;FR16850;"1472"
ES1555;;"Crédit Mutuel Leasing, Sucursal en España";Entidad de crédito;"CALLE RAMÍREZ DE ARELLANO, 29, 28043, Madrid";No;FR13070;"1555"
ES1460;;"Crédit Suisse Ag, Sucursal en España";Entidad de crédito;"Cl Ayala, 42, 28001, Madrid";Sí;CH0ECBM00012;"1460"
ES6716;959800QLWRN53GRZD457;"Currencies Direct Spain, EDE, SL";Otra institución;"Avda del Mediterráneo, 341, 04638, Almería";No;;"6716"
ES1457;;"De Lage Landen International B.V., Sucursal en España";Entidad de crédito;"Cl  Jose Bardasano Baos 9 Pl. 5, Edif.Gorbea 3, 28016, Madrid";No;NL7802;"1457"
ES1548;;"Dell Bank International Designated Activity Company, Sucursal en España";Entidad de crédito;"Cl Ribera del Loira, 8, 28042, Madrid";No;IEC92019;"1548"
ES0145;;"Deutsche Bank, A.G., Sucursal en España";Entidad de crédito;"Ps de la Castellana, 18, 28046, Madrid";No;DE00001;"0145"
ES0019;529900SICIK5OVMVY186;"Deutsche Bank, Sociedad Anónima Española";Entidad de crédito;"Ps de la Castellana, 18, 28046, Madrid";Sí;;"0019"
ES8826;529900MF50NA8S97G349;"Deutsche Leasing Iberica, E.F.C.,  S.A.";Otra institución;"Pl. Eueropa, 9 y11, 08908, L'Hospitalet de Llobregat (Barcelona)";No;;"8826"
ES1501;;"Deutsche Pfandbriefbank AG, Sucursal en España";Entidad de crédito;"Cl Montesquinza, 30, 28010, Madrid";No;DE03249;"1501"
ES0211;95980020140005388333;"EBN Banco de Negocios, S.A.";Entidad de crédito;"Ps de Recoletos, 29, 28004, Madrid";No;;"0211"
ES1473;;"Edmond de Rothschild (Europe), Sucursal en España";Entidad de crédito;"Ps de la Castellana, 55, 28046, Madrid";No;LUB00172;"1473"
ES1512;;"Elavon Financial Services Designated Activity Company, Sucursal en España";Entidad de crédito;"Av. Bruselas, 36, 28108, Alcobendas";No;IEC43558;"1512"
ES3081;95980020140005552166;"Eurocaja Rural, Sociedad Cooperativa de Crédito";Entidad de crédito;"Cl Méjico, 2, 45004, Toledo";Sí;;"3081"
ES0239;95980020140005375820;"Evo Banco S.A.";Entidad de crédito;"Cl Serrano, 45, 28001, Madrid";Sí;;"0239"
ES8640;549300ID0ECBMAU75085;"FCA Capital España, EFC SA";Otra institución;"Av de Madrid, 15, 28802, Alcalá de Henares (Madrid)";No;;"8640"
ES0218;;"FCE Bank Plc Sucursal en España";Entidad de crédito;"Cl Caléndula, 13, 28109, Alcobendas (Madrid)";No;GB1190;"0218"
ES8308;;"Financiera Carrión, S.A., E.F.C.";Otra institución;"Ps del Pintor Rosales, 4, 28008, Madrid";No;;"8308"
ES8805;95980020140005327126;"Financiera El Corte Inglés E.F.C., S.A.";Otra institución;"Cl Hermosilla, 112, 28009, Madrid";Sí;;"8805"
ES8823;;"Financiera española de crédito a distancia, E.F.C., S.A.";Otra institución;"Av Fuente de la Mora, 4, 28050, Madrid";No;;"8823"
ES6718;;"FINPAY Entidad de Dineero Electrónico, S.A";Otra institución;"PASEO DE LA CASTELLANA, 126, 28046, Madrid";No;;"6718"
ES8839;959800KYA6P1XWHAFX61;"GCC Consumo, EFC, S.A";Otra institución;"Ps de los Melancólicos, 14A, 28005, Madrid";No;;"8839"  
ES1496;;"Genefim, Sucursal en España";Entidad de crédito;"Pz Pablo Ruiz Picasso, 1, 28020, Madrid";No;FR17660;"1496"
ES6702;9598009Q36ZSCPSZWT27;"Global Payment Moneytopay, EDE, SL";Otra institución;"Cl Caleruega, 102, 28033, Madrid";No;;"6702"
ES1564;;"Goldman Sachs Bank Europe SE, Sucursal en España";Entidad de crédito;"C/ María de Molina, 6, 28006, Madrid";No;DE05602;"1564"
ES1497;;"Haitong Bank, S.A., Sucursal en España";Entidad de crédito;"Ps de la Castellana, 52, 28046, Madrid";No;PT47;"1497"
ES1504;;"Honda Bank GmbH, Sucursal en España";Entidad de crédito;"Cl Mar del Nord, 1, 08130, Santa Perpetua de la Mogoda (Barcelona)";No;DE05685;"1504"
ES0162;;"HSBC Continental Europe, Sucursal en España";Entidad de crédito;"Pz Pablo Ruiz Picasso S/N Pl.33. Torre Picasso, 28020, Madrid";Sí;FR30056;"0162"
ES2085;549300OLBL49CW8CT155;"Ibercaja Banco, S.A.";Entidad de crédito;"Pz D. Basilio Paraíso, 2, 50008, Zaragoza";Sí;;"2085"
ES4832;;"Ibercaja Leasing y Financiación, S.A., Establecimiento Financiero de Crédito";Otra institución;"Ps de la Constitución, 4, 50001, Zaragoza";No;;"4832"
ES1538;;"Industrial and Commercial Bank of China (Europe) S.A., Sucursal en España";Entidad de crédito;"Ps de Recoletos, 12, 28001, Madrid";No;LUB00348;"1538"
ES1465;;"Ing Bank, N.V. Sucursal en España";Entidad de crédito;"VÍA DE LOS POBLADOS, 1F Y 1E, 28033, Madrid";Sí;NL163;"1465"
